Город;UTC
Калининград;+2
Москва;+3
Санкт-Петербург;+3
Нижний;+3
Казань;+3
Ростов-на-Дону;+3
Воронеж;+3
Краснодар;+3
Саратов;+3
Ярославль;+3
Махачкала;+3
Рязань;+3
Набережные;+3
Пенза;+3
Липецк;+3
Киров;+3
Чебоксары;+3
Тула;+3
Курск;+3
Ставрополь;+3
Сочи;+3
Тверь;+3
Иваново;+3
Брянск;+3
Белгород;+3
Владимир;+3
Архангельск;+3
Калуга;+3
Смоленск;+3
Череповец;+3
Саранск;+3
Орёл;+3
Вологда;+3
Владикавказ;+3
Грозный;+3
Мурманск;+3
Тамбов;+3
Петрозаводск;+3
Кострома;+3
Новороссийск;+3
Йошкар-Ола;+3
Таганрог;+3
Сыктывкар;+3
Нальчик;+3
Нижнекамск;+3
Шахты;+3
Дзержинск;+3
Старый;+3
Великий;+3
Псков;+3
Минеральные;+3
Севастополь;+3
Симферопль;+3
Самара;+4
Волгоград;+4
Тольятти;+4
Ижевск;+4
Ульяновск;+4
Астрахань;+4
Екатеринбург;+5
Челябинск;+5
Уфа;+5
Пермь;+5
Тюмень;+5
Оренбург;+5
Магнитогорск;+5
Сургут;+5
Нижний;+5
Курган;+5
Стерлитамак;+5
Нижневартовск;+5
Орск;+5
Омск;+6
Новосибирск;+7
Красноярск;+7
Барнаул;+7
Томск;+7
Кемерово;+7
Новокузнецк;+7
Бийск;+7
Прокопьевск;+7
Норильск;+7
Иркутск;+8
Улан-Удэ;+8
Братск;+8
Ангарск;+8
Чита;+9
Якутск;+9
Благовещенск;+9
Хабаровск;+10
Владивосток;+10
Комсомольск-на-Амуре;+10
